date,product_name,current_price,original_price,discount_price,rating,year,month,quarter,day_of_week,is_weekend,day_of_year,price_change,price_change_pct,days_since_last_change,discount_percentage
2022-09-15,Apple iPhone 14,79750,85523,5772,4.5,2022,9,3,3,0,258,0.0,0.0,0,6.75
2022-09-16,Apple iPhone 14,79900,81370,1470,4.6,2022,9,3,4,0,259,150.0,0.18808777429466517,1,1.81
2022-09-17,Apple iPhone 14,79900,81594,1694,4.6,2022,9,3,5,1,260,0.0,0.0,1,2.08
2022-09-18,Apple iPhone 14,79900,82059,2159,4.5,2022,9,3,6,1,261,0.0,0.0,1,2.63
2022-09-19,Apple iPhone 14,79900,79963,63,4.5,2022,9,3,0,0,262,0.0,0.0,1,0.08
2022-09-20,Apple iPhone 14,79900,85891,5991,4.6,2022,9,3,1,0,263,0.0,0.0,1,6.98
2022-09-21,Apple iPhone 14,79900,85664,5764,4.5,2022,9,3,2,0,264,0.0,0.0,1,6.73
2022-09-22,Apple iPhone 14,79900,84220,4320,4.6,2022,9,3,3,0,265,0.0,0.0,1,5.13
2022-09-23,Apple iPhone 14,79900,81770,1870,4.5,2022,9,3,4,0,266,0.0,0.0,1,2.29
2022-09-24,Apple iPhone 14,79745,81713,1967,4.5,2022,9,3,5,1,267,-155.0,-0.19399249061327062,2,2.41
2022-09-25,Apple iPhone 14,79744,82881,3137,4.6,2022,9,3,6,1,268,-1.0,-0.0012539971158020968,3,3.78
2022-09-26,Apple iPhone 14,79900,84733,4833,4.6,2022,9,3,0,0,269,156.0,0.19562600321028079,4,5.7
2022-09-27,Apple iPhone 14,79854,85557,5703,4.5,2022,9,3,1,0,270,-46.0,-0.05757196495619343,5,6.67
2022-09-28,Apple iPhone 14,79900,85069,5169,4.6,2022,9,3,2,0,271,46.0,0.05760512936108242,6,6.08
2022-09-29,Apple iPhone 14,79900,81070,1170,4.6,2022,9,3,3,0,272,0.0,0.0,6,1.44
2022-09-30,Apple iPhone 14,79900,81980,2080,4.6,2022,9,3,4,0,273,0.0,0.0,6,2.54
2022-10-01,Apple iPhone 14,79900,80077,177,4.6,2022,10,4,5,1,274,0.0,0.0,6,0.22
2022-10-02,Apple iPhone 14,79849,84749,4900,4.6,2022,10,4,6,1,275,-51.0,-0.06382978723403765,7,5.78
2022-10-03,Apple iPhone 14,79900,84147,4247,4.6,2022,10,4,0,0,276,51.0,0.06387055567382838,8,5.05
2022-10-04,Apple iPhone 14,79900,84997,5097,4.6,2022,10,4,1,0,277,0.0,0.0,8,6.0
2022-10-05,Apple iPhone 14,79719,82898,3179,4.5,2022,10,4,2,0,278,-181.0,-0.22653316645807609,9,3.83
2022-10-06,Apple iPhone 14,79900,82601,2701,4.5,2022,10,4,3,0,279,181.0,0.22704750435906806,10,3.27
2022-10-07,Apple iPhone 14,79900,85447,5547,4.5,2022,10,4,4,0,280,0.0,0.0,10,6.49
2022-10-08,Apple iPhone 14,79900,84751,4851,4.6,2022,10,4,5,1,281,0.0,0.0,10,5.72
2022-10-09,Apple iPhone 14,79900,83461,3561,4.6,2022,10,4,6,1,282,0.0,0.0,10,4.27
2022-10-10,Apple iPhone 14,79900,80970,1070,4.6,2022,10,4,0,0,283,0.0,0.0,10,1.32
2022-10-11,Apple iPhone 14,79900,80974,1074,4.6,2022,10,4,1,0,284,0.0,0.0,10,1.33
2022-10-12,Apple iPhone 14,79900,80920,1020,4.6,2022,10,4,2,0,285,0.0,0.0,10,1.26
2022-10-13,Apple iPhone 14,79900,86254,6354,4.6,2022,10,4,3,0,286,0.0,0.0,10,7.37
2022-10-14,Apple iPhone 14,79900,81287,1387,4.6,2022,10,4,4,0,287,0.0,0.0,10,1.71
2022-10-15,Apple iPhone 14,79900,86238,6338,4.6,2022,10,4,5,1,288,0.0,0.0,10,7.35
2022-10-16,Apple iPhone 14,79900,80092,192,4.6,2022,10,4,6,1,289,0.0,0.0,10,0.24
2022-10-17,Apple iPhone 14,79900,85465,5565,4.7,2022,10,4,0,0,290,0.0,0.0,10,6.51
2022-10-18,Apple iPhone 14,79900,83913,4013,4.6,2022,10,4,1,0,291,0.0,0.0,10,4.78
2022-10-19,Apple iPhone 14,79900,81943,2043,4.7,2022,10,4,2,0,292,0.0,0.0,10,2.49
2022-10-20,Apple iPhone 14,79900,85384,5484,4.6,2022,10,4,3,0,293,0.0,0.0,10,6.42
2022-10-21,Apple iPhone 14,79900,83565,3665,4.5,2022,10,4,4,0,294,0.0,0.0,10,4.39
2022-10-22,Apple iPhone 14,79900,83014,3114,4.6,2022,10,4,5,1,295,0.0,0.0,10,3.75
2022-10-23,Apple iPhone 14,79900,83496,3596,4.7,2022,10,4,6,1,296,0.0,0.0,10,4.31
2022-10-24,Apple iPhone 14,79900,83238,3338,4.6,2022,10,4,0,0,297,0.0,0.0,10,4.01
2022-10-25,Apple iPhone 14,79900,82373,2473,4.6,2022,10,4,1,0,298,0.0,0.0,10,3.0
2022-10-26,Apple iPhone 14,79900,86254,6354,4.6,2022,10,4,2,0,299,0.0,0.0,10,7.37
2022-10-27,Apple iPhone 14,79900,82402,2502,4.6,2022,10,4,3,0,300,0.0,0.0,10,3.04
2022-10-28,Apple iPhone 14,79900,82694,2794,4.7,2022,10,4,4,0,301,0.0,0.0,10,3.38
2022-10-29,Apple iPhone 14,79900,81192,1292,4.7,2022,10,4,5,1,302,0.0,0.0,10,1.59
2022-10-30,Apple iPhone 14,79900,85297,5397,4.6,2022,10,4,6,1,303,0.0,0.0,10,6.33
2022-10-31,Apple iPhone 14,79900,85094,5194,4.5,2022,10,4,0,0,304,0.0,0.0,10,6.1
2022-11-01,Apple iPhone 14,79900,82847,2947,4.7,2022,11,4,1,0,305,0.0,0.0,10,3.56
2022-11-02,Apple iPhone 14,79900,80290,390,4.6,2022,11,4,2,0,306,0.0,0.0,10,0.49
2022-11-03,Apple iPhone 14,79900,86098,6198,4.6,2022,11,4,3,0,307,0.0,0.0,10,7.2
2022-11-04,Apple iPhone 14,79900,82988,3088,4.6,2022,11,4,4,0,308,0.0,0.0,10,3.72
2022-11-05,Apple iPhone 14,79900,84059,4159,4.7,2022,11,4,5,1,309,0.0,0.0,10,4.95
2022-11-06,Apple iPhone 14,79900,80911,1011,4.7,2022,11,4,6,1,310,0.0,0.0,10,1.25
2022-11-07,Apple iPhone 14,79900,83171,3271,4.7,2022,11,4,0,0,311,0.0,0.0,10,3.93
2022-11-08,Apple iPhone 14,79900,84057,4157,4.5,2022,11,4,1,0,312,0.0,0.0,10,4.95
2022-11-09,Apple iPhone 14,79900,82146,2246,4.6,2022,11,4,2,0,313,0.0,0.0,10,2.73
2022-11-10,Apple iPhone 14,79900,86214,6314,4.7,2022,11,4,3,0,314,0.0,0.0,10,7.32
2022-11-11,Apple iPhone 14,79900,84868,4968,4.6,2022,11,4,4,0,315,0.0,0.0,10,5.85
2022-11-12,Apple iPhone 14,79672,84512,4840,4.5,2022,11,4,5,1,316,-228.0,-0.2853566958698428,11,5.73
2022-11-13,Apple iPhone 14,79900,85240,5340,4.7,2022,11,4,6,1,317,228.0,0.2861733105733455,12,6.26
2022-11-14,Apple iPhone 14,79900,85348,5448,4.7,2022,11,4,0,0,318,0.0,0.0,12,6.38
2022-11-15,Apple iPhone 14,79417,83948,4531,4.6,2022,11,4,1,0,319,-483.0,-0.6045056320400533,13,5.4
2022-11-16,Apple iPhone 14,79900,82129,2229,4.6,2022,11,4,2,0,320,483.0,0.6081821272523547,14,2.71
