date,historical_price,chronos_forecast,chronos_lower_80,chronos_upper_80,prophet_forecast,prophet_lower_80,prophet_upper_80
17-11-2025,54900,55075,55075,55075,54773,54242,55365
18-11-2025,54900,55075,55075,55075,54785,54203,55383
19-11-2025,54900,55075,55075,55075,54814,54210,55403
20-11-2025,54900,55075,55075,55075,54817,54194,55354
21-11-2025,54900,55075,55075,55075,54806,54251,55358
22-11-2025,54900,55075,55075,55075,54777,54215,55343
23-11-2025,54900,55075,55075,55075,54736,54175,55314
24-11-2025,54900,55075,55075,55075,54707,54119,55287
25-11-2025,54900,55075,55075,55075,54738,54178,55336
26-11-2025,54900,55075,55075,55075,54767,54154,55347
27-11-2025,54900,55075,55075,55075,54746,54189,55336
28-11-2025,54900,55075,55075,55075,54696,54097,55288
29-11-2025,54900,55075,55075,55075,54632,54010,55253
30-11-2025,54900,55075,55075,55075,54575,53962,55198
01-12-2025,54900,55075,55075,55075,54555,53952,55148
02-12-2025,54900,55075,55075,55075,54612,53990,55184
03-12-2025,54900,55075,55075,55075,54672,54076,55296
04-12-2025,54900,55075,55075,55075,54675,54053,55319
05-12-2025,54900,55075,55075,55505,54640,54021,55300
06-12-2025,54900,55075,55075,55075,54581,53941,55223
07-12-2025,54900,55075,55075,55118,54519,53885,55158
08-12-2025,54900,55075,55075,55505,54485,53818,55162
09-12-2025,54900,55075,55075,55505,54527,53902,55243
10-12-2025,54900,55075,55075,55505,54584,53890,55263
11-12-2025,54900,55075,55075,55505,54614,53941,55320
12-12-2025,54900,55075,55075,55505,54638,53886,55369
13-12-2025,54900,55075,55075,55505,54649,53906,55328
14-12-2025,54900,55075,55075,55505,54638,53936,55434
15-12-2025,54900,55075,55075,55505,54604,53812,55321
16-12-2025,54900,55075,55075,55505,54591,53832,55328
