date,price_forecast,price_lower_80,price_upper_80,model
2025-04-30,55179,55179,55179,Chronos
2025-05-01,55179,55179,55179,Chronos
2025-05-02,55179,55179,55179,Chronos
2025-05-03,55179,55179,55179,Chronos
2025-05-04,55179,55179,55179,Chronos
2025-05-05,55179,55179,55179,Chronos
2025-05-06,55179,55179,55179,Chronos
2025-05-07,55179,55179,55179,Chronos
2025-05-08,55179,55179,55179,Chronos
2025-05-09,55179,55179,55179,Chronos
2025-05-10,55179,55179,55179,Chronos
2025-05-11,55179,55179,55179,Chronos
2025-05-12,55179,55179,55179,Chronos
2025-05-13,55179,55179,55179,Chronos
2025-05-14,55179,55179,55179,Chronos
2025-05-15,55179,55179,55179,Chronos
2025-05-16,55179,55179,55179,Chronos
2025-05-17,55179,55179,55179,Chronos
2025-05-18,55179,55179,55179,Chronos
2025-05-19,55179,55179,55179,Chronos
2025-05-20,55179,55179,55179,Chronos
2025-05-21,55179,55179,55179,Chronos
2025-05-22,55179,55179,55179,Chronos
2025-05-23,55179,55179,55179,Chronos
2025-05-24,55179,55179,55179,Chronos
2025-05-25,55179,55179,55179,Chronos
2025-05-26,55179,55179,55179,Chronos
2025-05-27,55179,55179,55179,Chronos
2025-05-28,55179,55179,55179,Chronos
2025-05-29,55179,55179,55179,Chronos
2025-05-30,55179,55137,55179,Chronos
2025-05-31,55179,54755,55179,Chronos
2025-06-01,55179,54755,55179,Chronos
2025-06-02,55179,54755,55179,Chronos
2025-06-03,55179,54755,55179,Chronos
2025-06-04,55179,54755,55179,Chronos
2025-06-05,55179,54755,55179,Chronos
2025-06-06,55179,54755,55179,Chronos
2025-06-07,55179,54755,55179,Chronos
2025-06-08,55179,54755,55179,Chronos
2025-06-09,55179,54755,55179,Chronos
2025-06-10,55179,54755,55179,Chronos
2025-06-11,55179,54755,55179,Chronos
2025-06-12,55179,54755,55179,Chronos
2025-06-13,55179,54755,55179,Chronos
2025-06-14,55179,54755,55179,Chronos
2025-06-15,55179,54755,55179,Chronos
2025-06-16,55179,54755,55179,Chronos
2025-06-17,55179,54755,55179,Chronos
2025-06-18,55179,54755,55179,Chronos
2025-06-19,55179,54755,55179,Chronos
2025-06-20,55179,54755,55179,Chronos
2025-06-21,55179,54755,55179,Chronos
2025-06-22,55179,54755,55179,Chronos
2025-06-23,55179,54755,55179,Chronos
2025-06-24,55179,54755,55179,Chronos
2025-06-25,55179,54755,55222,Chronos
2025-06-26,55179,54755,55222,Chronos
2025-06-27,55179,54755,55222,Chronos
2025-06-28,55179,54755,55222,Chronos
2025-06-29,55179,54755,55222,Chronos
