date,price_forecast,price_lower_80,price_upper_80,trend,model
2025-04-30,54640,54171,55149,42544,Prophet
2025-05-01,54234,53777,54719,42540,Prophet
2025-05-02,53615,53148,54078,42537,Prophet
2025-05-03,52805,52351,53280,42533,Prophet
2025-05-04,51772,51325,52228,42530,Prophet
2025-05-05,50554,50116,51021,42526,Prophet
2025-05-06,49499,49499,49499,42523,Prophet
2025-05-07,49499,49499,49499,42519,Prophet
2025-05-08,49499,49499,49499,42516,Prophet
2025-05-09,49499,49499,49499,42512,Prophet
2025-05-10,49499,49499,49499,42509,Prophet
2025-05-11,49499,49499,49499,42505,Prophet
2025-05-12,49499,49499,49499,42502,Prophet
2025-05-13,49499,49499,49499,42498,Prophet
2025-05-14,49499,49499,49499,42495,Prophet
2025-05-15,49499,49499,49499,42491,Prophet
2025-05-16,49499,49499,49499,42488,Prophet
2025-05-17,49499,49499,49499,42484,Prophet
2025-05-18,49499,49499,49499,42481,Prophet
2025-05-19,49499,49499,49499,42477,Prophet
2025-05-20,49499,49499,49499,42474,Prophet
2025-05-21,49499,49499,49499,42470,Prophet
2025-05-22,49499,49499,49499,42467,Prophet
2025-05-23,49499,49499,49499,42463,Prophet
2025-05-24,49499,49499,49499,42460,Prophet
2025-05-25,49499,49499,49499,42456,Prophet
2025-05-26,49499,49499,49499,42453,Prophet
2025-05-27,49499,49499,49499,42449,Prophet
2025-05-28,49499,49499,49499,42446,Prophet
2025-05-29,49499,49499,49499,42442,Prophet
2025-05-30,49499,49499,49499,42439,Prophet
2025-05-31,49499,49499,49499,42435,Prophet
2025-06-01,49499,49499,49499,42432,Prophet
2025-06-02,49499,49499,49499,42428,Prophet
2025-06-03,49499,49499,49499,42425,Prophet
2025-06-04,49499,49499,49499,42421,Prophet
2025-06-05,49499,49499,49499,42418,Prophet
2025-06-06,49499,49499,49499,42414,Prophet
2025-06-07,49499,49499,49499,42411,Prophet
2025-06-08,49499,49499,49499,42407,Prophet
2025-06-09,49499,49499,49499,42404,Prophet
2025-06-10,49499,49499,49499,42400,Prophet
2025-06-11,49499,49499,49499,42397,Prophet
2025-06-12,49499,49499,49499,42393,Prophet
2025-06-13,49499,49499,49499,42390,Prophet
2025-06-14,49499,49499,49499,42386,Prophet
2025-06-15,49499,49499,49499,42383,Prophet
2025-06-16,49499,49499,49499,42379,Prophet
2025-06-17,49499,49499,49499,42376,Prophet
2025-06-18,51721,51037,52463,42372,Prophet
2025-06-19,62773,62045,63489,42369,Prophet
2025-06-20,73484,72730,74217,42365,Prophet
2025-06-21,83818,83094,84553,42362,Prophet
2025-06-22,93659,92889,94462,42358,Prophet
2025-06-23,102939,102114,103704,42355,Prophet
2025-06-24,111213,110423,112054,42351,Prophet
2025-06-25,118647,117807,119471,42348,Prophet
2025-06-26,124989,124088,125831,42344,Prophet
2025-06-27,130176,129309,131026,42341,Prophet
2025-06-28,134201,133378,135040,42337,Prophet
2025-06-29,136987,136046,137889,42334,Prophet
